ID,Urbanizacion,Manzana,Lote,Estado,Cuota
37-17-1,37,17,1,Vendido,"400,000"
37-17-2,37,17,2,Vendido,"450,000"
37-17-3,37,17,3,Vendido,"450,000"
37-17-4,37,17,4,Vendido,"450,000"
37-17-9,37,17,9,Vendido,"400,000"
37-17-10,37,17,10,Vendido,"400,000"
37-17-11,37,17,11,Vendido,"420,000"
37-13-1,37,13,1,No disponible para la venta,0
37-13-8,37,13,8,No disponible para la venta,0
37-14-1,37,14,1,No disponible para la venta,0
37-14-12,37,14,12,No disponible para la venta,0
37-15-1,37,15,1,No disponible para la venta,0
37-15-12,37,15,12,No disponible para la venta,0
37-16-1,37,16,1,No disponible para la venta,0
37-16-12,37,16,12,No disponible para la venta,0
37-17-12,37,17,12,No disponible para la venta,0
38-1-8,38,1,8,Bloqueo por Deuda,"500,000"
38-1-9,38,1,9,Bloqueo por Deuda,"500,000"
38-2-5,38,2,5,Bloqueo por Deuda,"550,000"
38-3-6,38,3,6,Bloqueo por Deuda,"450,000"
38-1-12,38,1,12,Cancelado,"500,000"
38-1-13,38,1,13,Cancelado,"500,000"
38-1-18,38,1,18,Libre (R),"450,000"
38-1-19,38,1,19,Libre (R),"450,000"
38-3-2,38,3,2,Libre,"400,000"
38-3-3,38,3,3,Libre,"450,000"
38-3-4,38,3,4,Libre,"500,000"
38-4-4,38,4,4,Libre,"600,000"
38-4-5,38,4,5,Libre,"750,000"
38-4-6,38,4,6,Libre,"700,000"
38-4-7,38,4,7,Libre,"700,000"
38-4-8,38,4,8,Libre,"750,000"
38-1-1,38,1,1,Vendido,"450,000"
38-1-2,38,1,2,Vendido,"550,000"
38-1-3,38,1,3,Vendido,"500,000"
38-1-4,38,1,4,Vendido,"500,000"
38-1-5,38,1,5,Vendido,"500,000"
38-1-6,38,1,6,Vendido,"500,000"
38-1-7,38,1,7,Vendido,"500,000"
38-1-10,38,1,10,Vendido,"500,000"
38-1-11,38,1,11,Vendido,"500,000"
38-1-14,38,1,14,Vendido,"500,000"
38-1-15,38,1,15,Vendido,"2,415,000"
38-1-16,38,1,16,Vendido,"500,000"
38-1-17,38,1,17,Vendido,"500,000"
38-2-2,38,2,2,Vendido,"400,000"
38-2-3,38,2,3,Vendido,"400,000"
38-2-4,38,2,4,Vendido,"550,000"
38-3-1,38,3,1,Vendido,"550,000"
38-3-5,38,3,5,Vendido,"500,000"
38-3-7,38,3,7,Vendido,"420,000"
38-3-8,38,3,8,Vendido,"550,000"
